,0
286,33
352,0
69961,0
1654787,1
1827307,0
2758906,0
305899,0
1036132,0
2066475,0
2768738,0
202771,0
2717331,0
2745,0
1897649,0
1395977,0
404432,0
42054,0
504090,0
376488,0
64322,0
33073,0
204286,0
64968,0
1861843,0
196078,0
965,1
48075,0
267849,0
75687,0
459520,0
515417,0
1775292,0
75683,0
759360,0
187492,0
196079,0
1537406,0
188907,0
599651,0
231683,0
230494,1
2562805,0
1445504,0
2694839,0
28253,5
2742,1
1857014,0
2047735,0
2650549,0
332518,0
158481,0
141450,0
2425,0
316625,1
2036021,0
1123951,0
2038244,0
1792291,0
62100,0
1458243,0
1122284,0
2752545,0
10,3
359337,0
940550,0
447467,0
48073,3
1123967,0
745153,0
1217416,2
475794,0
2678529,2
1857932,0
393661,1
1341120,0
1132027,0
1341118,0
2689588,2
1434050,0
630749,0
1654711,0
1084558,1
503005,0
1434044,1
1524249,0
418700,0
469,0
222991,0
497,1
475,0
186829,0
1742986,0
661182,0
1268272,0
59753,0
2025617,0
547,0
1330545,0
83654,0
160674,0
570,0
2726810,0
1330546,0
158851,0
158876,0
579,0
1504576,0
561,0
590,0
544,1
2055880,0
2303321,0
1330547,0
447792,0
413496,0
1649295,0
1903434,0
1649298,0
1335483,0
451512,0
82976,0
158483,0
32199,1
472825,0
204619,0
2608261,0
1302410,0
401618,0
51228,0
1699619,0
1682492,0
203804,1
409304,0
53335,0
82986,0
1356488,0
1297562,0
551,1
2100764,0
1780190,0
613,1
1745211,0
929812,0
34037,0
41201,0
1565532,0
2678248,0
2716544,0
629,0
568987,1
568988,0
122277,1
160433,0
71655,0
204037,0
1082702,0
635,0
568,0
1822002,0
82978,0
82984,0
2172100,0
82980,0
702,0
198346,0
1906660,0
1906661,0
1906659,0
1048757,1
1906657,0
84565,0
466108,0
626,1
29487,0
586,1
158848,0
637,0
583,1
581,0
1193503,0
1335631,0
743714,0
1505768,0
336803,0
724,0
1960084,0
416916,0
745,0
53416,0
697331,0
1648517,0
2070447,0
256730,0
1648514,0
908284,0
2070443,0
292486,0
214906,0
109471,0
75984,0
713,1
1855419,0
1249016,0
1649317,0
1520333,0
2094023,0
1857532,0
271159,0
476528,0
146805,0
155493,0
658623,0
662,2
511678,1
657,0
2014233,0
188143,0
51366,0
2042066,0
642,0
43947,0
225143,0
347533,0
129577,0
2802288,0
83770,0
674963,1
13334,1
866,0
83768,0
2873964,0
67572,0
1914248,0
58050,0
1573826,0
261825,0
882379,0
2676252,0
412033,0
22,2
2547964,0
375673,0
44011,0
1434025,0
1775176,0
53246,1
907197,0
336830,0
111142,1
67575,0
2071980,0
265980,0
296014,0
28228,0
1407056,0
2848171,0
2848177,0
137583,0
1518149,1
1172191,0
226,0
288793,0
2662254,0
89404,0
249523,0
1621534,0
1406885,0
2125985,0
1751872,0
2661818,0
366580,0
2800384,0
135575,1
1249554,0
745410,0
261963,0
1920241,1
1502941,0
1649479,0
2590445,0
189384,0
884214,0
235572,0
1495768,0
1541743,0
262,0
1869285,0
2670346,0
2056696,0
28905,0
2056689,0
482136,0
445,20
465,0
254245,2
776,1
59195,0
1755683,0
1237,0
40323,1
338,0
2370,0
83618,1
83614,0
141948,0
68,5
1649512,0
490567,0
292713,0
1344362,0
265718,0
1648505,0
75309,1
231454,0
155196,0
2707020,0
70411,0
242605,0
1649642,0
1218803,0
1544982,0
323413,0
886360,0
2709666,0
1453544,0
2233801,2
999506,0
1676142,0
863253,0
1335745,1
2368,0
35796,0
85108,0
133193,0
406099,0
1538468,0
469322,0
1738655,1
413435,0
1861863,0
1434005,0
1274363,0
2689591,0
243627,0
381430,0
2689590,0
64001,0
1266053,0
180541,1
1558474,0
2320199,0
2597258,0
762296,0
1410680,0
200670,0
429,0
39773,0
160800,0
2713642,0
416,0
1221209,0
1565313,0
1760987,0
73778,0
413,1
1918951,0
1808977,0
2045060,0
