Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage (GENUS)	Taxonomic lineage IDs
X6QC80	X6QC80_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_2 csrA HMPREF1562_1844	Providencia alcalifaciens F90-2004	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Morganellaceae, Providencia, Providencia alcalifaciens, Providencia alcalifaciens F90-2004	Providencia	1256987
A0A6J4MNQ6	A0A6J4MNQ6_9ACTN	unreviewed	Translational regulator CsrA	csrA AVDCRST_MAG34-2575	uncultured Nocardioidaceae bacterium	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Propionibacteriales, Nocardioidaceae, environmental samples, uncultured Nocardioidaceae bacterium		253824
A0A162BCA7	A0A162BCA7_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA OA79_15260	Marinomonas sp. TW1	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oceanospirillaceae, Marinomonas, unclassified Marinomonas, Marinomonas sp. TW1	Marinomonas	1561203
A0A2E3UTG6	A0A2E3UTG6_9PROT	unreviewed	Translational regulator CsrA	csrA CMP11_02190	Bdellovibrionaceae bacterium	cellular organisms, Bacteria, Proteobacteria, Oligoflexia, Bdellovibrionales, Bdellovibrionaceae, unclassified Bdellovibrionaceae, Bdellovibrionaceae bacterium		2026715
A0A2Z3HFM6	A0A2Z3HFM6_9BACT	unreviewed	Translational regulator CsrA	csrA C1280_28955	Gemmata obscuriglobus	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, Gemmata obscuriglobus	Gemmata	114
A0A142X2U6	A0A142X2U6_9PLAN	unreviewed	Translational regulator CsrA	csrA_6 csrA VT03_26080	Planctomyces sp. SH-PL14	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctomyces, unclassified Planctomyces, Planctomyces sp. SH-PL14	Planctomyces	1632864
B4EUV8	CSRA_PROMH	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA PMI0377	Proteus mirabilis (strain HI4320)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Morganellaceae, Proteus, Proteus mirabilis, Proteus mirabilis (strain HI4320)	Proteus	529507
A0A370GGL0	A0A370GGL0_9COXI	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA C8D86_1124	Aquicella lusitana	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, Aquicella lusitana	Aquicella	254246
A0A1G0YL58	A0A1G0YL58_9BACT	unreviewed	Translational regulator CsrA	csrA A2X46_06235	Lentisphaerae bacterium GWF2_57_35	cellular organisms, Bacteria, PVC group, Lentisphaerae, unclassified Lentisphaerae, Lentisphaerae bacterium GWF2_57_35		1798576
A0A2E1JZ65	A0A2E1JZ65_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA CMF43_00270	Legionellales bacterium	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, unclassified Legionellales, Legionellales bacterium		2026754
Q88G93	CSRA_PSEPK	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA PP_3832	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas putida group, Pseudomonas putida (Arthrobacter siderocapsulatus), Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	Pseudomonas	160488
A0A661QZI3	A0A661QZI3_9DELT	unreviewed	Translational regulator CsrA	csrA DRH15_01995	Deltaproteobacteria bacterium	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, unclassified Deltaproteobacteria, Deltaproteobacteria bacterium		2026735
A0A1N7J0V2	A0A1N7J0V2_9BACI	unreviewed	Translational regulator CsrA	csrA SAMN05421687_103147	Salimicrobium flavidum	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Salimicrobium, Salimicrobium flavidum	Salimicrobium	570947
A0A1B8TID0	A0A1B8TID0_9PSED	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA A9513_000780	Pseudomonas sp. AU12215	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, unclassified Pseudomonas, Pseudomonas sp. AU12215	Pseudomonas	1860123
A0A6I7PTQ8	A0A6I7PTQ8_9DELT	unreviewed	Translational regulator CsrA	csrA EA369_10385	Bradymonadales bacterium	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Bradymonadales, unclassified Bradymonadales, Bradymonadales bacterium		2099667
