accession,ncbi_taxid
RS_GCF_001020875.1,294
RS_GCF_902498005.1,294
RS_GCF_014472415.1,2767798
RS_GCF_002813455.1,674054
RS_GCF_009764645.1,2494699
RS_GCF_000282515.1,1144339
RS_GCF_001269815.1,1699311
RS_GCF_004124275.1,2073078
RS_GCF_009834515.1,1573712
RS_GCF_001297015.1,1699620
RS_GCF_001648775.1,294
RS_GCF_900187605.1,2009042
RS_GCF_002003425.1,198620
RS_GCF_013363935.1,2743971
RS_GCF_900187515.1,2009137
RS_GCF_003053805.1,2135758
RS_GCF_004011755.1,2005388
RS_GCF_005938625.1,294
GB_GCA_002754355.1,2035197
RS_GCF_000783395.1,587753
RS_GCF_900580865.1,33069
RS_GCF_900582195.1,33069
RS_GCF_902497745.1,294
RS_GCF_003732425.1,294
RS_GCF_001605965.1,198620
RS_GCF_005233515.1,2184009
RS_GCF_000817895.1,294
RS_GCF_002836515.1,2058307
RS_GCF_900105805.1,321662
RS_GCF_900105485.1,1421430
GB_GCA_902825215.1,294
RS_GCF_014268505.1,2745508
RS_GCF_014270125.1,2745506
RS_GCF_900636825.1,294
RS_GCF_002901475.1,2075548
RS_GCF_011369485.1,2609964
RS_GCF_003732725.1,294
RS_GCF_000292795.1,743713
RS_GCF_004683905.1,294
RS_GCF_000282275.2,1144328
RS_GCF_000631985.1,1470589
RS_GCF_003061005.1,2056857
GB_GCA_003049825.1,198620
RS_GCF_003999415.1,198620
RS_GCF_012986595.1,198620
RS_GCF_000633255.1,1397280
RS_GCF_002878485.1,396378
GB_GCA_001594225.2,1785145
RS_GCF_010448615.1,294
RS_GCF_002417665.1,294
RS_GCF_012974785.1,294
RS_GCF_004006335.1,317
RS_GCF_003352875.1,294
RS_GCF_002112385.1,1981683
RS_GCF_003352185.1,1628086
RS_GCF_002113125.1,1981738
RS_GCF_001679645.1,294
RS_GCF_002113045.1,1981732
RS_GCF_002113595.1,1981717
RS_GCF_003228315.1,303
RS_GCF_013359595.1,2735272
RS_GCF_001984065.1,1855729
RS_GCF_002356535.1,143813
RS_GCF_013359695.1,2735270
RS_GCF_900187565.1,2008913
RS_GCF_008801475.1,395599
RS_GCF_900105115.1,395600
RS_GCF_002277815.1,1805930
RS_GCF_902498195.1,294
RS_GCF_001976065.1,303
RS_GCF_002236105.1,198618
RS_GCF_000282475.1,1144337
RS_GCF_003050925.1,2135756
RS_GCF_902498135.1,294
RS_GCF_002303925.1,1920428
RS_GCF_000967965.1,294
RS_GCF_001429045.1,1736593
RS_GCF_002236115.1,77298
RS_GCF_000282455.1,1144336
RS_GCF_003053605.1,2135750
RS_GCF_002113025.1,1981730
RS_GCF_004348895.1,95300
RS_GCF_002113375.1,1981685
RS_GCF_002934665.1,2011015
RS_GCF_002906155.1,1943631
RS_GCF_009764265.1,2495428
RS_GCF_001269805.1,1699310
RS_GCF_900187615.1,2009153
RS_GCF_001427125.1,1736561
RS_GCF_902497845.1,294
RS_GCF_001945365.1,395598
RS_GCF_000802965.1,294
RS_GCF_001421885.1,1736221
RS_GCF_003732665.1,104087
RS_GCF_008370045.1,2597351
RS_GCF_003732705.1,104087
RS_GCF_001308855.1,665135
RS_GCF_012935755.1,2730845
RS_GCF_900105155.1,1148509
RS_GCF_004364415.1,75612
RS_GCF_000690905.1,1488328
RS_GCF_902497625.1,294
RS_GCF_902497785.1,294
RS_GCF_000952175.1,1628833
RS_GCF_010095445.1,2654097
RS_GCF_004310295.1,2528211
RS_GCF_000282215.1,1144325
RS_GCF_002000165.1,1311337
RS_GCF_001511755.1,1283291
RS_GCF_003732265.1,930166
RS_GCF_006438915.1,702115
RS_GCF_000293885.2,1221522
RS_GCF_002091715.1,1215109
RS_GCF_902498065.1,294
RS_GCF_003151075.1,2201356
RS_GCF_900106065.1,75612
RS_GCF_900103875.1,702115
RS_GCF_000968015.1,294
RS_GCF_900187425.1,2009179
RS_GCF_004136015.1,2052956
RS_GCF_006438925.1,75612
RS_GCF_000282315.2,1144708
RS_GCF_900105495.1,104087
RS_GCF_902497855.1,294
RS_GCF_902497995.1,294
RS_GCF_001661075.1,1853130
RS_GCF_006094435.1,2498848
RS_GCF_001297125.1,1690247
RS_GCF_008369325.1,2597348
RS_GCF_000282415.1,1144334
RS_GCF_009761815.1,2494700
RS_GCF_000282495.1,1144338
RS_GCF_002286815.1,1949067
RS_GCF_000282375.1,1144332
